Site_ID_pseudonym,Reservoir_ID,Reservoir_Name,Sample_ID,Collection_Date,Species_Name,biomass_ugL,Count,Size,Functional_Group,Trophic_Group,Feeding_Type,FTG_Combined,Trophic_Group_General
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Ostracod,NA,NA,NA,Ostrocoda,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Daphnia_Retrocurva,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Eubosmina_coregoni,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Snail_spp,NA,NA,NA,Gastropoda,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Diptera_spp,NA,NA,NA,Insecta,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Gastropus_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Cladocera_general,8.18E-05,0.000179856,0.431,Cladocera,Herbivore,G-Filtration,Herbivore_ G-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Daphnia_galeata_mendote,0.020663136,0.003866907,1.026,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Daphnia_pulex,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Daphnia_schodleri,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Daphnia_pulicaria,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Daphnia_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Diaphanosoma_birgei,NA,NA,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Ceriodaphnia_reticulata,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Moina_spp,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Bosmina_longirostris,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Macrothrix_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Kurzia_latissima,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Leydlgla_quadrangularis,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Chydorus_sphaericus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Leptodora_kindti,NA,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Pseudo_chydorus_globosus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Polyphemus_pediculus,NA,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Holopedium_gibberum,NA,7.49E-05,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Calanoida_general,0.002204026,0.001543765,0.621,Calanoida,Omnivore,Stationary suspension,Omnivore_ Stationary suspension,Omnivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Leptodiaptomus_ashlandi,0.000690464,0.000119904,1.064,Calanoida,Omnivore,Stationary suspension,Omnivore_ Stationary suspension,Omnivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,H_Shoshone,0.001197608,4.50E-05,1.922,Calanoida,Omnivore,Raptorial,Omnivore_ Raptorial,Omnivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Cyclopoida_general,NA,0.003447242,NA,Cyclopoida,Omnivore,Raptorial,Omnivore _ Raptorial,Omnivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Cyclops_bicuspidatus_thomasi,NA,0.000104916,NA,Cyclopoida,Omnivore carnivore,Raptorial,Omnivore carnivore_ Raptorial,Omnivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Rotifera_general,NA,0.000944245,0.121,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Eucyclops_spp,NA,NA,NA,Cyclopoida,Omnivore herbivore,Raptorial,Omnivore herbivore_ Raptorial,Omnivore
C,ALC,Alcova,ALC_P1_DUP_20210614,6/14/2021,Notholca_spp,NA,NA,NA,Rotifera,Herbivore,R-Filtration,Herbivore_ R-Filtration,Herbivore_Rotifer
